state_index,bitstring,is_bas_pattern,target_probability,row_0,row_1,pixel_00,pixel_01,pixel_10,pixel_11
0,0000,True,0.16666666666666666,00,00,0,0,0,0
1,0001,False,0.0,00,01,0,0,0,1
2,0010,False,0.0,00,10,0,0,1,0
3,0011,True,0.16666666666666666,00,11,0,0,1,1
4,0100,False,0.0,01,00,0,1,0,0
5,0101,True,0.16666666666666666,01,01,0,1,0,1
6,0110,False,0.0,01,10,0,1,1,0
7,0111,False,0.0,01,11,0,1,1,1
8,1000,False,0.0,10,00,1,0,0,0
9,1001,False,0.0,10,01,1,0,0,1
10,1010,True,0.16666666666666666,10,10,1,0,1,0
11,1011,False,0.0,10,11,1,0,1,1
12,1100,True,0.16666666666666666,11,00,1,1,0,0
13,1101,False,0.0,11,01,1,1,0,1
14,1110,False,0.0,11,10,1,1,1,0
15,1111,True,0.16666666666666666,11,11,1,1,1,1
