model,model_key,layer,epoch,train_loss,test_loss,train_accuracy,test_accuracy,epoch_time_s
MZI,MZI,1,1,0.3427399958883013,0.2674817740917206,0.9857142567634583,0.8666666746139526,0.2732682228088379
MZI,MZI,1,2,0.1245308437517711,0.11196961253881454,0.9857142567634583,0.9666666388511658,0.23236894607543945
MZI,MZI,1,3,0.06687001671109881,0.068855419754982,0.9857142567634583,1.0,0.200927734375
MZI,MZI,1,4,0.04569193534553051,0.035890843719244,0.9857142567634583,1.0,0.235548734664917
MZI,MZI,1,5,0.03469461841242654,0.025083592161536217,1.0,1.0,0.2213444709777832
MZI,MZI,1,6,0.02310226961438145,0.01789109781384468,1.0,1.0,0.21821022033691406
MZI,MZI,1,7,0.018012608640960284,0.014097554609179497,1.0,1.0,0.2208421230316162
MZI,MZI,1,8,0.013272445076810462,0.01093968190252781,1.0,1.0,0.21458888053894043
MZI,MZI,1,9,0.010956165686781918,0.008977970108389854,1.0,1.0,0.1986865997314453
MZI,MZI,1,10,0.008865661919116974,0.00717412494122982,1.0,1.0,0.19730496406555176
MZI,MZI,1,11,0.007136122097394296,0.006066805683076382,1.0,1.0,0.19152069091796875
MZI,MZI,1,12,0.0060022835752793725,0.005198247265070677,1.0,1.0,0.1865992546081543
MZI,MZI,1,13,0.00560261937789619,0.004578623455017805,1.0,1.0,0.19851040840148926
MZI,MZI,1,14,0.004505901457741856,0.004013420082628727,1.0,1.0,0.18045377731323242
MZI,MZI,1,15,0.003954467972341393,0.0036522604059427977,1.0,1.0,0.18381643295288086
MZI,MZI,1,16,0.0034776804453161146,0.003369551384821534,1.0,1.0,0.18380212783813477
MZI,MZI,1,17,0.003110912023112178,0.003101705340668559,1.0,1.0,0.19054055213928223
MZI,MZI,1,18,0.0028783018783932286,0.002864172914996743,1.0,1.0,0.2028038501739502
MZI,MZI,1,19,0.0024685752711125783,0.0026668685022741556,1.0,1.0,0.2149522304534912
MZI,MZI,1,20,0.0022459422969924553,0.002492852509021759,1.0,1.0,0.2794215679168701
MZI,MZI,1,21,0.0020922219031490386,0.0023297658190131187,1.0,1.0,0.222550630569458
MZI,MZI,1,22,0.001874556640229587,0.002237416571006179,1.0,1.0,0.23256492614746094
MZI,MZI,1,23,0.0017503791571860867,0.0021306497510522604,1.0,1.0,0.22165393829345703
MZI,MZI,1,24,0.0015744834606136594,0.0019828586373478174,1.0,1.0,0.26282477378845215
MZI,MZI,1,25,0.0015056280294499758,0.0019107196712866426,1.0,1.0,0.6088550090789795
MZI,MZI,1,26,0.001380003888958267,0.0017669628141447902,1.0,1.0,0.4337787628173828
MZI,MZI,1,27,0.0012507615419703403,0.0017918666126206517,1.0,1.0,0.30521368980407715
MZI,MZI,1,28,0.0011629881328969662,0.0017063706181943417,1.0,1.0,0.3032560348510742
MZI,MZI,1,29,0.0010956666798197798,0.0016206131549552083,1.0,1.0,0.29583191871643066
MZI,MZI,1,30,0.0010110556779961502,0.0015053157694637775,1.0,1.0,0.32752203941345215
MZI,MZI,1,31,0.0009729632047570444,0.0014403145760297775,1.0,1.0,0.24434304237365723
MZI,MZI,1,32,0.0009030127498720373,0.001357853994704783,1.0,1.0,0.26578354835510254
MZI,MZI,1,33,0.0008670740507243733,0.0013341570738703012,1.0,1.0,0.26956701278686523
MZI,MZI,1,34,0.0008094613903917239,0.0012484395410865545,1.0,1.0,0.32515501976013184
MZI,MZI,1,35,0.0007630379554549498,0.0012071102391928434,1.0,1.0,0.3720870018005371
MZI,MZI,1,36,0.0007200898378089603,0.0011719210306182504,1.0,1.0,0.32627177238464355
MZI,MZI,1,37,0.0006833614307522242,0.0011308410903438926,1.0,1.0,0.3390839099884033
MZI,MZI,1,38,0.0006562012846448591,0.0010658707469701767,1.0,1.0,0.3651294708251953
MZI,MZI,1,39,0.0006287397459215884,0.0010425326181575656,1.0,1.0,0.3964507579803467
MZI,MZI,1,40,0.0005838358155285407,0.0010098728816956282,1.0,1.0,0.4319782257080078
MZI,MZI,1,41,0.000571709555619496,0.0009421833092346787,1.0,1.0,0.3926992416381836
MZI,MZI,1,42,0.0005342096718127972,0.0009103899355977774,1.0,1.0,0.41648387908935547
MZI,MZI,1,43,0.0005174683003653107,0.0009048604988493025,1.0,1.0,0.40187931060791016
MZI,MZI,1,44,0.0004977557897551118,0.0008556340471841395,1.0,1.0,0.46189069747924805
MZI,MZI,1,45,0.00047225842697246534,0.0008383014355786145,1.0,1.0,0.34467244148254395
MZI,MZI,1,46,0.00044822779829181464,0.0008050811011344194,1.0,1.0,0.37922120094299316
MZI,MZI,1,47,0.0004295832662527183,0.0007827188819646835,1.0,1.0,0.45348167419433594
MZI,MZI,1,48,0.0004161661386855745,0.000756474444642663,1.0,1.0,0.49078893661499023
MZI,MZI,1,49,0.0004109087595549811,0.0006982534541748464,1.0,1.0,0.43750905990600586
MZI,MZI,1,50,0.0003829861071218537,0.0007008909014984965,1.0,1.0,0.4422745704650879
MZI,MZI,1,51,0.0003602281115100985,0.0006763490382581949,1.0,1.0,0.41890907287597656
MZI,MZI,1,52,0.00034877071302616967,0.0006458834977820516,1.0,1.0,0.45502424240112305
MZI,MZI,1,53,0.0003347621698464666,0.0006204005912877619,1.0,1.0,0.45015978813171387
MZI,MZI,1,54,0.0003381773490608404,0.0006529976963065565,1.0,1.0,0.4706859588623047
MZI,MZI,1,55,0.0003093573055853735,0.0006249469588510692,1.0,1.0,0.5382564067840576
MZI,MZI,1,56,0.00029779124077841906,0.0006019629072397947,1.0,1.0,0.5781981945037842
MZI,MZI,1,57,0.00028796628892970537,0.0005790340364910662,1.0,1.0,0.46703457832336426
MZI,MZI,1,58,0.0002765011414469752,0.000556248240172863,1.0,1.0,0.5027217864990234
MZI,MZI,1,59,0.00026938161297169116,0.0005438700900413096,1.0,1.0,0.44673871994018555
MZI,MZI,1,60,0.0002598647259999,0.0005313938017934561,1.0,1.0,0.4661242961883545
MZI,MZI,1,61,0.00024981323029870896,0.0005105443415232003,1.0,1.0,0.448993444442749
MZI,MZI,1,62,0.0002447096793080813,0.0004962262464687228,1.0,1.0,0.49480175971984863
MZI,MZI,1,63,0.00023586924580740743,0.0004795075219590217,1.0,1.0,0.54427170753479
MZI,MZI,1,64,0.00022656715196457558,0.00047367901424877346,1.0,1.0,0.5425035953521729
MZI,MZI,1,65,0.0002249134105763265,0.00047180306864902377,1.0,1.0,0.5567691326141357
MZI,MZI,1,66,0.00021315658533629695,0.00045014257193543017,1.0,1.0,0.5353963375091553
MZI,MZI,1,67,0.00021235244837173792,0.00042166525963693857,1.0,1.0,0.5008652210235596
MZI,MZI,1,68,0.0002042841421436086,0.0004225092416163534,1.0,1.0,0.4891939163208008
MZI,MZI,1,69,0.00019826403419886317,0.0004066781548317522,1.0,1.0,0.5038595199584961
MZI,MZI,1,70,0.00018949575377129283,0.00039698847103863955,1.0,1.0,0.5083949565887451
MZI,MZI,1,71,0.00018577751408364358,0.00038432731525972486,1.0,1.0,0.4849061965942383
MZI,MZI,1,72,0.00018037654528078357,0.0003772797354031354,1.0,1.0,0.48676252365112305
MZI,MZI,1,73,0.00017534476156859973,0.0003668839344754815,1.0,1.0,0.49526381492614746
MZI,MZI,1,74,0.00017193577587022447,0.00036981693119741976,1.0,1.0,0.49363183975219727
MZI,MZI,1,75,0.00016583279430051334,0.0003592273860704154,1.0,1.0,0.5480561256408691
MZI,MZI,1,76,0.00016135716063477699,0.00034567606053315103,1.0,1.0,0.47697949409484863
MZI,MZI,1,77,0.00015825589299700888,0.00033482525032013655,1.0,1.0,0.5274333953857422
MZI,MZI,1,78,0.0001520450177589997,0.0003330956387799233,1.0,1.0,0.4989602565765381
MZI,MZI,1,79,0.00014981428929396705,0.00032975603244267404,1.0,1.0,0.49608469009399414
MZI,MZI,1,80,0.00014452634100702458,0.0003159770858474076,1.0,1.0,0.5910882949829102
MZI,MZI,1,81,0.0001406408121640977,0.0003087983059231192,1.0,1.0,0.5263462066650391
MZI,MZI,1,82,0.00013768139633612008,0.0003060209273826331,1.0,1.0,0.4543149471282959
MZI,MZI,1,83,0.00013701408996504531,0.0002927421883214265,1.0,1.0,0.46094703674316406
MZI,MZI,1,84,0.00013032084022727628,0.00028694962384179235,1.0,1.0,0.46837425231933594
MZI,MZI,1,85,0.00012658898911987698,0.0002802792005240917,1.0,1.0,0.46404099464416504
MZI,MZI,1,86,0.0001264601661595017,0.0002811455924529582,1.0,1.0,0.46619510650634766
MZI,MZI,1,87,0.00012299256311182815,0.000267822208115831,1.0,1.0,0.44991183280944824
MZI,MZI,1,88,0.0001182490486826282,0.00026914768386632204,1.0,1.0,0.44807982444763184
MZI,MZI,1,89,0.00011609628124590797,0.00026207181508652866,1.0,1.0,0.46735215187072754
MZI,MZI,1,90,0.00011204256703162433,0.0002610207302495837,1.0,1.0,0.5000689029693604
MZI,MZI,1,91,0.00011024176406603407,0.00025603719404898584,1.0,1.0,0.458789587020874
MZI,MZI,1,92,0.00010877516818124735,0.0002493305073585361,1.0,1.0,0.45261645317077637
MZI,MZI,1,93,0.00010632201335413681,0.00024805887369439006,1.0,1.0,0.4861893653869629
MZI,MZI,1,94,0.0001048515504018204,0.0002350745053263381,1.0,1.0,0.45147156715393066
MZI,MZI,1,95,0.00010153356290954564,0.00023519594105891883,1.0,1.0,0.4622983932495117
MZI,MZI,1,96,9.894007650603141e-05,0.0002310073032276705,1.0,1.0,0.4726119041442871
MZI,MZI,1,97,9.627043270614065e-05,0.00022320618154481053,1.0,1.0,0.4683070182800293
MZI,MZI,1,98,9.47152852079723e-05,0.000218549495912157,1.0,1.0,0.45873427391052246
MZI,MZI,1,99,9.201442374303172e-05,0.00020857318304479122,1.0,1.0,0.4838995933532715
MZI,MZI,1,100,9.081136234142052e-05,0.00020895061607006937,1.0,1.0,0.49361658096313477
MZI,MZI,2,1,0.49179685967309134,0.3602847456932068,0.9857142567634583,0.9666666388511658,0.4225478172302246
MZI,MZI,2,2,0.23810076969010488,0.15699513256549835,0.9857142567634583,0.9666666388511658,0.7971065044403076
MZI,MZI,2,3,0.10205157580120224,0.07632311433553696,0.9857142567634583,0.9666666388511658,0.45038652420043945
MZI,MZI,2,4,0.05687534628169877,0.04522644355893135,0.9857142567634583,1.0,0.49433112144470215
MZI,MZI,2,5,0.035269954481295177,0.029115086421370506,0.9857142567634583,1.0,0.47198987007141113
MZI,MZI,2,6,0.02785920612514019,0.019942404702305794,1.0,1.0,0.4068028926849365
MZI,MZI,2,7,0.014762407062309128,0.014311336912214756,1.0,1.0,0.42412662506103516
MZI,MZI,2,8,0.00985786560922861,0.011916629038751125,1.0,1.0,0.5655927658081055
MZI,MZI,2,9,0.007583204676796283,0.01026477012783289,1.0,1.0,0.5321764945983887
MZI,MZI,2,10,0.005749868614865201,0.009101910516619682,1.0,1.0,0.6324725151062012
MZI,MZI,2,11,0.0047550599523154755,0.0077745853923261166,1.0,1.0,0.6441123485565186
MZI,MZI,2,12,0.003847879357635975,0.007193098776042461,1.0,1.0,0.6311831474304199
MZI,MZI,2,13,0.0032585562472896915,0.006741344928741455,1.0,1.0,0.6419570446014404
MZI,MZI,2,14,0.0028189056952084815,0.005801534280180931,1.0,1.0,0.7368903160095215
MZI,MZI,2,15,0.002423098500418876,0.005567578598856926,1.0,1.0,0.680025577545166
MZI,MZI,2,16,0.002142151654697955,0.0052761356346309185,1.0,1.0,0.7926716804504395
