model,model_key,layer,iteration_type,iteration,loss,js_divergence,total_variation_distance,negative_log_likelihood,target_support_probability,mode_coverage,entropy,grad_norm,step_time_s,epoch_time_s
MZI,MZI,1,step,1,1.840061834477961,0.4553992882800084,0.8327172413704911,8.95351122752952,0.9512032233700917,5.0,0.26632673411630164,2.1671843900780443,0.024045467376708984,
MZI,MZI,1,step,2,1.6614746718971884,0.4544317937291473,0.831426047376453,7.769810505328124,0.9153666974420834,5.0,0.4233110911240434,1.5113105154419353,0.019385576248168945,
MZI,MZI,1,step,3,1.514983761712611,0.4511020322122129,0.8285413008373306,6.816364429723545,0.8685676550694563,6.0,0.6128508647694004,1.1755992673199773,0.019508838653564453,
MZI,MZI,1,step,4,1.3917435545456447,0.4445244070426063,0.8231326969620198,6.040416751032916,0.8132081763273175,6.0,0.8255413123029671,0.9713812202337053,0.020495891571044922,
MZI,MZI,1,step,5,1.2858777907745595,0.43442344620815965,0.8143297091181031,5.40491906073663,0.7529015860010967,6.0,1.0509745270295634,0.8378275427436014,0.025632143020629883,
MZI,MZI,1,step,6,1.193831806478825,0.42124361462690363,0.8015923764862148,4.883390486850738,0.6917460406011786,6.0,1.2788110763446756,0.7444674016708209,0.028155088424682617,
MZI,MZI,1,step,7,1.113685598799369,0.40599447859921467,0.7849292843973495,4.456297706535246,0.6335757872830374,6.0,1.499597359644294,0.6731669810435217,0.021769285202026367,
MZI,MZI,1,step,8,1.0444237487725097,0.38992382389957886,0.7649499265185907,4.108349523646675,0.5812919633375226,6.0,1.7056471424215593,0.612882522851147,0.026698827743530273,
MZI,MZI,1,step,9,0.9853416820151981,0.37418294319343115,0.7427191711802168,3.826818535085041,0.5365222100196168,6.0,1.8916340658516662,0.5576112114983798,0.031097412109375,
MZI,MZI,1,step,10,0.9356814988969482,0.3596124674097728,0.7194811992634217,3.6006331434933627,0.4996687966588481,6.0,2.054751555974514,0.5048719397581934,0.021542072296142578,
MZI,MZI,1,step,11,0.8944932593916205,0.3466809631074095,0.6963704495447564,3.4199584920464883,0.470217445005619,6.0,2.1944954669928523,0.4542482222099958,0.023524045944213867,
MZI,MZI,1,step,12,0.8606621158334341,0.3355374284611775,0.6742173168412081,3.2760921435346413,0.4471370836691339,6.0,2.3121467101065245,0.4061789210585077,0.025498151779174805,
MZI,MZI,1,step,13,0.8330194634177834,0.32611518454183097,0.6534928649194285,3.1615309041998736,0.4292348161268232,6.0,2.4100792965012388,0.3611776478035611,0.030932903289794922,
MZI,MZI,1,step,14,0.8104644533370062,0.3182367744849901,0.6343641995361244,3.070063125834733,0.41539228446002285,6.0,2.4910801779449274,0.31947938773027584,0.023879051208496094,
MZI,MZI,1,step,15,0.7920529304249351,0.3116941681549541,0.6168021418444847,2.996791034518378,0.4046812521882645,6.0,2.5578202778256482,0.28098419175433104,0.027640581130981445,
MZI,MZI,1,step,16,0.777183584537941,0.3062970764876254,0.6036106073020372,2.938039851234759,0.39638939269796275,6.0,2.612547980914993,0.2453553081277912,0.030347824096679688,
MZI,MZI,1,step,17,0.7661352314464516,0.3019198366151075,0.6099650966170723,2.8914476000032696,0.3900349033829276,6.0,2.6567237191238653,0.19549065497406468,0.02696847915649414,
MZI,MZI,1,step,18,0.7574165494387416,0.2984316782868988,0.6147846597168725,2.8549709211066614,0.38521534028312754,6.0,2.691788219704975,0.16621166023260758,0.021832704544067383,
